pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,effective_temperature,radius
HD 23127 b,HD 23127,1,1,Radial Velocity,2006,Anglo-Australian Telescope,0,1211.17,11.11,-8.91,0.0,2.37,0.032,-0.032,0.0,13.5,,,0.0,1.21,,,0.0,485.32641,11.75971,-12.07754,0.0,1.527,0.037,-0.038,0.0,Msini,0.406,0.083,-0.09,0.0,,,,,,,,,0,G2 V,5843.0,52.0,-52.0,0.0,1.49,0.1,-0.1,0.0,1.21,0.04,-0.04,0.0,0.29,0.03,-0.03,0.0,[Fe/H],4.15,0.05,-0.05,0.0,03h39m23.79s,54.8491271,-60d04m38.02s,-60.077229,93.8555,0.2059,-0.205,8.58,0.03,-0.03,7.087,0.018,-0.018,8.42019,0.000312,-0.000312,4680773217379728128,54.84914773693463,-60.07720919259064,10.689487846164852,73.76882196429432,142.7922257128721,8.430387,5741.389,1.6665
HD 231701 b,HD 231701,1,1,Radial Velocity,2007,W. M. Keck Observatory,0,141.63,0.067,-0.067,0.0,0.567,0.053,-0.053,0.0,13.7,,,0.0,1.22,,,0.0,359.1479,79.4575,-79.4575,0.0,1.13,0.25,-0.25,0.0,Msini,0.13,0.032,-0.032,0.0,,,,,,,,,0,F8 V,6101.0,,,0.0,1.53,0.2,-0.2,0.0,1.21,0.34,-0.34,0.0,0.05,,,0.0,[Fe/H],4.31,0.06,-0.06,0.0,19h32m04.23s,293.017622,+16d28m27.68s,16.4743566,108.877,0.471,-0.467,8.97,0.03,-0.03,7.657,0.026,-0.026,8.83051,0.000288,-0.000288,4321678767076043264,293.0176312426036,16.474358684650515,9.21885520429604,63.45165520024641,15.507735537973304,8.839058,6054.2407,1.4363
HD 233604 b,HD 233604,1,1,Radial Velocity,2013,McDonald Observatory,0,192.0,0.22,-0.22,0.0,0.747,,,0.0,12.7,,,0.0,1.13,,,0.0,2089.644,,,0.0,6.575,,,0.0,Msini,0.05,0.03,-0.03,0.0,,,,,,,,,0,K5,4791.0,45.0,-45.0,0.0,10.9,0.6,-0.6,0.0,1.5,0.3,-0.3,0.0,-0.36,0.04,-0.04,0.0,[Fe/H],2.55,0.18,-0.18,0.0,09h09m48.84s,137.4535054,+53d34m05.53s,53.5682016,847.058,26.599,-26.599,10.291,0.009,-0.009,7.979,0.021,-0.021,10.1054,0.000357,-0.000357,1023492257121204352,137.45350975017388,53.56820073797278,1.1491868683930029,18.708298860256697,-6.678808556793205,10.110742,4706.913,10.9995
HD 233832 b,HD 233832,2,1,Radial Velocity,2018,Roque de los Muchachos Observatory,0,2058.0,47.0,-40.0,0.0,2.827,0.045,-0.039,0.0,13.5,,,0.0,1.2,,,0.0,565.7374,25.4264,-19.0698,0.0,1.78,0.08,-0.06,0.0,Msini,0.359,0.046,-0.039,0.0,,,,,,,,,0,G0,4981.0,31.0,-31.0,0.0,0.68,0.03,-0.03,0.0,0.71,0.02,-0.02,0.0,-0.66,0.1,-0.1,0.0,[Fe/H],4.49,0.06,-0.06,0.0,11h26m04.72s,171.5196515,+50d22m34.72s,50.3763099,58.742,0.2626,-0.2602,10.15,0.03,-0.03,8.013,0.02,-0.02,9.94557,0.000508,-0.000508,790236569006916096,171.51954835402307,50.37632720803632,17.1257616785636,-473.8591625206827,124.3032592359728,9.951004,4939.9683,0.7378
HD 23472 b,HD 23472,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,17.667087,4.2e-05,-4.2e-05,0.0,0.1162,0.0018,-0.0018,0.0,2.0,0.11,-0.1,0.0,0.178,0.01,-0.009,0.0,8.32,0.78,-0.79,0.0,0.02618,0.00245,-0.00249,0.0,Mass,0.072,0.039,-0.04,0.0,16.0,1.8,-1.6,0.0,543.0,18.0,-18.0,0.0,0,K4 V,4684.0,99.0,-99.0,0.0,0.71,0.02,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.2,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,0.0401,-0.04,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227,4674216245427964416,55.45900041524187,-62.76727286183441,25.58174404360941,-102.3927185063219,-44.06580891146139,9.3899145,4626.067,0.7582
HD 23472 c,HD 23472,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,29.79749,0.00013,-0.00014,0.0,0.1646,0.0024,-0.0024,0.0,1.87,0.12,-0.11,0.0,0.167,0.011,-0.01,0.0,3.41,0.88,-0.81,0.0,0.01073,0.00277,-0.00255,0.0,Mass,0.063,0.054,-0.043,0.0,7.96,0.87,-0.78,0.0,467.0,19.0,-18.0,0.0,0,K4 V,4684.0,99.0,-99.0,0.0,0.71,0.02,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.2,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,0.0401,-0.04,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227,4674216245427964416,55.45900041524187,-62.76727286183441,25.58174404360941,-102.3927185063219,-44.06580891146139,9.3899145,4626.067,0.7582
HD 23472 d,HD 23472,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,3.97664,3e-05,-4.4e-05,0.0,0.04298,0.00063,-0.00065,0.0,0.75,0.067,-0.057,0.0,0.067,0.006,-0.005,0.0,0.55,0.21,-0.2,0.0,0.00173,0.00066,-0.00063,0.0,Mass,0.07,0.05,-0.047,0.0,117.0,13.0,-11.0,0.0,909.0,35.0,-32.0,0.0,0,K4 V,4684.0,99.0,-99.0,0.0,0.71,0.02,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.2,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,0.0401,-0.04,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227,4674216245427964416,55.45900041524187,-62.76727286183441,25.58174404360941,-102.3927185063219,-44.06580891146139,9.3899145,4626.067,0.7582
HD 23472 e,HD 23472,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,7.90754,0.00011,-0.00011,0.0,0.068,0.001,-0.001,0.0,0.818,0.08,-0.065,0.0,0.073,0.007,-0.006,0.0,0.72,0.28,-0.27,0.0,0.00227,0.00088,-0.00085,0.0,Mass,0.07,0.052,-0.047,0.0,46.7,5.1,-4.6,0.0,723.0,28.0,-25.0,0.0,0,K4 V,4684.0,99.0,-99.0,0.0,0.71,0.02,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.2,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,0.0401,-0.04,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227,4674216245427964416,55.45900041524187,-62.76727286183441,25.58174404360941,-102.3927185063219,-44.06580891146139,9.3899145,4626.067,0.7582
HD 23472 f,HD 23472,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,12.1621839,0.00012,-9.9e-05,0.0,0.0906,0.0014,-0.0014,0.0,1.137,0.084,-0.077,0.0,0.101,0.007,-0.007,0.0,0.77,0.44,-0.4,0.0,0.00242,0.00138,-0.00126,0.0,Mass,0.07,0.048,-0.051,0.0,26.3,2.9,-2.6,0.0,630.0,27.0,-23.0,0.0,0,K4 V,4684.0,99.0,-99.0,0.0,0.71,0.02,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.2,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,0.0401,-0.04,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227,4674216245427964416,55.45900041524187,-62.76727286183441,25.58174404360941,-102.3927185063219,-44.06580891146139,9.3899145,4626.067,0.7582
HD 235088 b,HD 235088,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,7.434151,1.8e-05,-1.8e-05,0.0,0.071,0.001,-0.001,0.0,2.075,0.093,-0.071,0.0,0.185,0.008,-0.006,0.0,4.2,2.4,-2.4,0.0,0.01321,0.00755,-0.00755,0.0,Mass,0.0,,,0.0,70.0,5.0,-5.0,0.0,754.0,16.0,-14.0,0.0,0,,5037.0,14.0,-14.0,0.0,0.79,0.02,-0.02,0.0,0.85,0.02,-0.02,0.0,0.105,0.058,-0.059,0.0,[Fe/H],4.63,0.02,-0.02,0.0,20h02m27.71s,300.6154535,+53d22m38.79s,53.3774418,41.1706,0.0414,-0.0414,9.19,0.03,-0.03,7.084,0.016,-0.016,8.94271,0.000387,-0.000387,2089570519439964416,300.61549185195605,53.377461920231646,24.24558412297306,165.04977785590728,145.1732966832647,8.953323,4973.8477,0.8077
HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Haute-Provence Observatory,0,1535.11912,7.76172,-9.26013,0.0,2.694,0.107,-0.118,0.0,12.4,,,0.0,1.1,,,0.0,3786.60764,314.65012,-561.92062,0.0,11.914,0.99,-1.768,0.0,Mass,0.282,0.017,-0.014,0.0,,,,,,,,,0,F8,6040.0,29.0,-29.0,0.0,1.53,0.03,-0.03,0.0,1.1,0.14,-0.14,0.0,0.33,0.03,-0.03,0.0,[Fe/H],4.23,0.05,-0.05,0.0,03h48m00.45s,57.0018601,+40d31m50.63s,40.5307308,52.0018,0.1026,-0.1022,7.26122,0.023,-0.023,5.874,0.023,-0.023,7.10356,0.000183,-0.000183,224870885460646016,57.00186971669163,40.53073384375664,19.3246930658357,52.74173147748,21.74006677289353,7.117993,5902.0483,1.5896
HD 238090 b,HD 238090,1,1,Radial Velocity,2020,Multiple Observatories,0,13.671,0.011,-0.01,0.0,0.0932,0.0011,-0.0011,0.0,2.52,,,0.0,0.225,,,0.0,6.89,0.92,-0.95,0.0,0.02168,0.00289,-0.00299,0.0,Msini,0.3,0.16,-0.17,0.0,8.1,0.16,-0.18,0.0,470.0,2.0,-3.0,0.0,0,M0.0 V,3933.0,51.0,-51.0,0.0,0.57,0.02,-0.02,0.0,0.58,0.02,-0.02,0.0,-0.03,0.16,-0.16,0.0,[Fe/H],4.7,0.07,-0.07,0.0,12h12m21.27s,183.0886375,+54d29m10.15s,54.486153,15.2354,0.00625,-0.00625,9.71,0.1,-0.1,6.059,0.017,-0.017,9.037911,0.000482,-0.000482,1573086442800134272,183.0886931780873,54.48616586319348,65.57916710555038,232.5251612739905,92.14790963525571,9.043074,3626.983,0.6882
HD 238914 b,HD 238914,1,1,Radial Velocity,2018,Multiple Observatories,0,4100.0,210.0,-210.0,0.0,5.7,0.9,-0.9,0.0,12.8,,,0.0,1.14,,,0.0,1906.98,858.141,-858.141,0.0,6.0,2.7,-2.7,0.0,Msini,0.56,0.07,-0.05,0.0,,,,,,,,,0,K7,4769.0,15.0,-15.0,0.0,12.73,3.89,-3.89,0.0,1.47,0.47,-0.47,0.0,-0.25,0.09,-0.09,0.0,[Fe/H],2.37,0.06,-0.06,0.0,18h38m20.21s,279.5842102,+59d15m13.97s,59.2538819,519.452,8.2395,-8.2395,8.770001,0.03,-0.03,6.325,0.034,-0.034,8.497,0.00028,-0.00028,2154807121292791040,279.58420921204873,59.25388260712624,1.881836919858876,-3.7201066754382905,5.193279905848228,8.505993,4945.7534,13.8172
HD 24040 b,HD 24040,1,2,Radial Velocity,2006,W. M. Keck Observatory,0,3668.0,170.0,-170.0,0.0,4.92,0.21,-0.21,0.0,13.0,,,0.0,1.16,,,0.0,1226.8238,114.4188,-114.4188,0.0,3.86,0.36,-0.36,0.0,Msini,0.04,0.06,-0.06,0.0,,,,,,,,,0,G0 V,5802.0,15.0,-15.0,0.0,1.3,0.02,-0.02,0.0,1.11,0.12,-0.12,0.0,0.19,,,0.0,[Fe/H],4.26,0.05,-0.05,0.0,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.6224,0.1362,-0.1355,7.515,0.009,-0.009,5.969,0.02,-0.02,7.33476,0.000187,-0.000187,43802039287826432,57.59622684276635,17.4752524415781,21.47188045529033,113.43301136847268,-251.10065136712265,7.3485003,5664.091,1.4148
HD 24040 c,HD 24040,1,2,Radial Velocity,2021,Multiple Observatories,0,515.4,2.2,-2.5,0.0,1.3,0.021,-0.022,0.0,9.35,,,0.0,0.834,,,0.0,63.88351,8.58137,-8.58137,0.0,0.201,0.027,-0.027,0.0,Msini,0.11,0.12,-0.079,0.0,,,,,,,,,0,G0 V,5776.49,84.58,-84.58,0.0,1.39,0.03,-0.03,0.0,1.1,0.05,-0.05,0.0,0.197,0.059,-0.059,0.0,[Fe/H],4.2,0.03,-0.03,0.0,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.6224,0.1362,-0.1355,7.515,0.009,-0.009,5.969,0.02,-0.02,7.33476,0.000187,-0.000187,43802039287826432,57.59622684276635,17.4752524415781,21.47188045529033,113.43301136847268,-251.10065136712265,7.3485003,5664.091,1.4148
HD 24085 b,HD 24085,1,1,Radial Velocity,2019,Las Campanas Observatory,0,2.0455,0.0002,-0.0002,0.0,0.034,0.001,-0.001,0.0,3.46,,,0.0,0.309,,,0.0,11.8,3.1,-3.1,0.0,0.03713,0.00975,-0.00975,0.0,Msini,0.22,0.12,-0.12,0.0,,,,,,,,,0,G0 V,6034.0,32.0,-53.0,0.0,1.41,0.03,-0.02,0.0,1.22,0.07,-0.07,0.0,0.17,0.06,-0.06,0.0,[M/H],4.2,0.09,-0.05,0.0,03h45m01.52s,56.2563447,-70d01m28.27s,-70.0245193,54.9004,0.0745,-0.0743,7.57,0.03,-0.03,6.172,0.017,-0.017,7.42496,0.000244,-0.000244,4666907516760096512,56.25634113699592,-70.02453279695958,18.17749247510528,-9.063211465900643,-97.34680710969886,7.4385877,5930.5293,1.469
HD 25015 b,HD 25015,1,1,Radial Velocity,2019,La Silla Observatory,0,6134.427,618.42583,-506.67463,0.0,6.248,0.486,-0.439,0.0,12.5,,,0.0,1.12,,,0.0,2884.92845,367.72747,-579.40119,0.0,9.077,1.157,-1.823,0.0,Mass,0.341,0.085,-0.077,0.0,,,,,,,,,0,K2 V,5160.0,63.0,-63.0,0.0,0.83,0.04,-0.04,0.0,0.86,0.1,-0.1,0.0,0.04,0.04,-0.04,0.0,[Fe/H],4.4,0.14,-0.14,0.0,03h57m44.05s,59.4335463,-20d16m02.40s,-20.2673347,37.433,0.0689,-0.0687,8.87,0.03,-0.03,6.806,0.026,-0.026,8.59876,0.000635,-0.000635,5094032153102626688,59.433563904050686,-20.267319957584807,26.748334250131933,118.94023962245272,106.28704880485476,8.608794,5031.565,0.8343
HD 25171 b,HD 25171,2,1,Radial Velocity,2010,La Silla Observatory,0,1802.29,24.12,-22.92,0.0,2.971,0.033,-0.032,0.0,13.9,,,0.0,1.24,,,0.0,290.81445,3.49613,-3.81396,0.0,0.915,0.011,-0.012,0.0,Msini,0.042,0.046,-0.029,0.0,,,,,,,,,0,F8 V,6125.0,21.0,-21.0,0.0,1.23,0.04,-0.04,0.0,1.08,0.02,-0.02,0.0,-0.12,0.04,-0.04,0.0,[Fe/H],4.26,0.03,-0.03,0.0,03h55m49.79s,58.9574779,-65d11m10.77s,-65.1863239,55.6146,0.0928,-0.0925,7.77,0.03,-0.03,6.489,0.023,-0.023,7.638,0.000216,-0.000216,4670023700215616768,58.957525732708,-65.18631252025298,17.927955865429738,144.01980949544725,81.550238348588,7.650367,6056.8604,1.2973
HD 25463 b,HD 25463,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,7.0491423,9.5e-06,-9.5e-06,0.0,0.076,0.001,-0.001,0.0,2.545,0.112,-0.083,0.0,0.227,0.01,-0.007,0.0,8.7,2.7,-2.6,0.0,0.02737,0.0085,-0.00818,0.0,Mass,0.0,,,0.0,461.4,58.7,-58.7,0.0,1198.0,19.0,-18.0,0.0,0,,6337.87,44.69,-44.69,0.0,1.42,0.02,-0.02,0.0,1.25,0.02,-0.02,0.0,-0.018,0.054,-0.062,0.0,[Fe/H],4.23,0.02,-0.01,0.0,04h02m59.60s,60.7483361,+09d12m27.96s,9.2077676,45.6181,0.1254,-0.1247,6.91134,0.023,-0.023,5.706,0.018,-0.018,6.77613,0.000254,-0.000254,3301771025223950336,60.74834873825633,9.20774461651762,22.131454823845687,89.84390562691871,-165.82267103251843,6.792206,6280.154,1.4419
HD 25463 c,HD 25463,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,3.04405,1e-05,-1e-05,0.0,0.0443,0.0008,-0.0008,0.0,1.364,0.13,-0.096,0.0,0.122,0.012,-0.009,0.0,4.3,1.9,-1.9,0.0,0.01353,0.00598,-0.00598,0.0,Mass,0.0,,,0.0,1413.5,179.7,-179.7,0.0,1586.0,26.0,-24.0,0.0,0,,6337.87,44.69,-44.69,0.0,1.42,0.02,-0.02,0.0,1.25,0.02,-0.02,0.0,-0.018,0.054,-0.062,0.0,[Fe/H],4.23,0.02,-0.01,0.0,04h02m59.60s,60.7483361,+09d12m27.96s,9.2077676,45.6181,0.1254,-0.1247,6.91134,0.023,-0.023,5.706,0.018,-0.018,6.77613,0.000254,-0.000254,3301771025223950336,60.74834873825633,9.20774461651762,22.131454823845687,89.84390562691871,-165.82267103251843,6.792206,6280.154,1.4419
HD 25912 b,HD 25912,1,2,Radial Velocity,2022,Multiple Observatories,0,41.83156,0.02308,-0.03093,0.0,0.242,0.009,-0.01,0.0,6.9,,,0.0,0.616,,,0.0,38.13941,4.13177,-4.13177,0.0,0.12,0.013,-0.013,0.0,Msini,0.05,0.039,-0.034,0.0,,,,,,,,,0,,5920.58,99.77,-112.8,0.0,1.0,0.05,-0.04,0.0,1.08,0.13,-0.13,0.0,0.12,0.05,-0.05,0.0,[M/H],4.48,0.07,-0.08,0.0,04h03m37.80s,60.9074988,-51d55m53.42s,-51.9315058,49.1661,0.0576,-0.0575,8.2,0.03,-0.03,6.71,0.026,-0.026,8.02788,0.000371,-0.000371,4828528063821835648,60.90748341757193,-51.93152730145464,20.35660561234484,-68.43206717938722,-154.83331308101242,8.040101,5733.5337,1.055
HD 25912 c,HD 25912,1,2,Radial Velocity,2022,Multiple Observatories,0,26308.65619,2095.17441,-2794.6441,0.0,17.848,1.147,-1.484,0.0,12.2,,,0.0,1.09,,,0.0,5252.75008,437.33189,-444.64194,0.0,16.527,1.376,-1.399,0.0,Mass,0.051,0.048,-0.025,0.0,,,,,,,,,0,,5920.58,99.77,-112.8,0.0,1.0,0.05,-0.04,0.0,1.08,0.13,-0.13,0.0,0.12,0.05,-0.05,0.0,[M/H],4.48,0.07,-0.08,0.0,04h03m37.80s,60.9074988,-51d55m53.42s,-51.9315058,49.1661,0.0576,-0.0575,8.2,0.03,-0.03,6.71,0.026,-0.026,8.02788,0.000371,-0.000371,4828528063821835648,60.90748341757193,-51.93152730145464,20.35660561234484,-68.43206717938722,-154.83331308101242,8.040101,5733.5337,1.055
HD 260655 b,HD 260655,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,2.76953,3e-05,-3e-05,0.0,0.02933,0.00024,-0.00024,0.0,1.24,0.023,-0.023,0.0,0.111,0.002,-0.002,0.0,2.14,0.34,-0.34,0.0,0.00673,0.00107,-0.00107,0.0,Mass,0.039,0.043,-0.023,0.0,42.2,0.7,-0.7,0.0,709.0,4.0,-4.0,0.0,0,M0 V,3803.0,10.0,-10.0,0.0,0.44,0.0,0.0,0.0,0.44,0.01,-0.01,0.0,-0.43,0.04,-0.04,0.0,[Fe/H],5.2,0.07,-0.07,0.0,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055,0.00505,-0.00505,9.63,0.1,-0.1,5.862,0.024,-0.024,8.876041,0.000554,-0.000554,3359074685047632640,99.29143146487576,17.566316517740663,100.02319547433648,-764.4141395476029,337.88323421402026,8.878268,3503.4954,0.5275
HD 260655 c,HD 260655,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,5.70588,7e-05,-7e-05,0.0,0.04749,0.00039,-0.00039,0.0,1.533,0.051,-0.046,0.0,0.137,0.005,-0.004,0.0,3.09,0.48,-0.48,0.0,0.00972,0.00151,-0.00151,0.0,Mass,0.038,0.036,-0.022,0.0,16.1,0.3,-0.3,0.0,557.0,3.0,-3.0,0.0,0,M0 V,3803.0,10.0,-10.0,0.0,0.44,0.0,0.0,0.0,0.44,0.01,-0.01,0.0,-0.43,0.04,-0.04,0.0,[Fe/H],5.2,0.07,-0.07,0.0,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055,0.00505,-0.00505,9.63,0.1,-0.1,5.862,0.024,-0.024,8.876041,0.000554,-0.000554,3359074685047632640,99.29143146487576,17.566316517740663,100.02319547433648,-764.4141395476029,337.88323421402026,8.878268,3503.4954,0.5275
HD 26161 b,HD 26161,1,1,Radial Velocity,2021,Multiple Observatories,0,10942.29013,10474.0807,-1387.88781,0.0,10.087,5.615,-1.085,0.0,11.9,,,0.0,1.06,,,0.0,9045.39646,6372.14173,-70.55791,0.0,28.46,20.049,-0.222,0.0,Mass,0.922,0.037,-0.099,0.0,,,,,,,,,0,,6057.62,87.6,-87.6,0.0,1.46,0.03,-0.03,0.0,1.12,0.15,-0.15,0.0,-0.009,0.059,-0.059,0.0,[Fe/H],4.16,0.03,-0.03,0.0,04h09m38.93s,62.4122255,+31d39m08.76s,31.6524346,40.9128,0.0764,-0.0761,6.89333,0.023,-0.023,5.524,0.015,-0.015,6.7427,0.000162,-0.000162,169149766470219520,62.41223594301567,31.652444314840643,24.44609288805638,64.38435708961842,70.05473365664355,6.7598076,6040.483,1.43
HD 2638 b,HD 2638,3,1,Radial Velocity,2005,La Silla Observatory,0,3.4442,0.0002,-0.0002,0.0,0.04,0.0,0.0,0.0,14.3,,,0.0,1.28,,,0.0,133.4886,9.5349,-9.5349,0.0,0.42,0.03,-0.03,0.0,Msini,0.0,,,0.0,,,,,,,,,0,K1 V,5186.0,8.0,-8.0,0.0,0.94,0.03,-0.03,0.0,0.77,0.09,-0.09,0.0,0.13,,,0.0,[Fe/H],4.38,0.04,-0.04,0.0,00h29m59.76s,7.4990038,-05d45m53.86s,-5.76496,54.9621,0.1556,-0.1547,9.44,0.03,-0.03,7.308,0.023,-0.023,9.192761,0.000642,-0.000642,2526925389919277056,7.498988813380171,-5.764990920117544,18.28745111865658,-107.13956253416735,-223.19799844373583,9.223693,4964.322,0.9664
HD 2685 b,HD 2685,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,4.12688,5e-05,-4e-05,0.0,0.0568,0.0006,-0.0006,0.0,16.141,0.56,-0.56,0.0,1.44,0.05,-0.05,0.0,371.8611,38.1396,-38.1396,0.0,1.17,0.12,-0.12,0.0,Mass,0.091,0.039,-0.047,0.0,1436.49,,,0.0,2061.0,28.0,-28.0,0.0,0,,6801.0,76.0,-76.0,0.0,1.56,0.05,-0.05,0.0,1.43,0.05,-0.04,0.0,0.02,0.06,-0.06,0.0,[Fe/H],4.21,0.03,-0.03,0.0,00h29m18.94s,7.3289156,-76d18m14.52s,-76.304032,196.852,0.777,-0.771,9.595,0.003,-0.003,8.595,0.019,-0.019,9.52025,0.000318,-0.000318,4684205720883329920,7.32891406867409,-76.30403112436022,5.066691077594203,-2.9259896926258704,6.84789270029769,9.52656,6604.2466,1.6294
HD 27631 b,HD 27631,1,1,Radial Velocity,2012,La Silla Observatory,0,2198.14,54.11,-50.34,0.0,3.242,0.07,-0.068,0.0,13.5,,,0.0,1.21,,,0.0,495.81231,63.56568,-47.67426,0.0,1.56,0.2,-0.15,0.0,Mass,0.141,0.062,-0.065,0.0,,,,,,,,,0,G3 IV/V,5737.0,36.0,-36.0,0.0,0.92,0.03,-0.03,0.0,0.94,0.03,-0.03,0.0,-0.12,0.05,-0.05,0.0,[Fe/H],4.46,0.04,-0.04,0.0,04h19m45.41s,64.9392168,-41d57m38.38s,-41.9606604,50.2862,0.0823,-0.0821,8.26,0.03,-0.03,6.646,0.021,-0.021,8.08478,0.000368,-0.000368,4840050395924931968,64.93920912108898,-41.96067311842211,19.926271939924987,-41.13927786303847,-91.9082374836434,8.096008,5627.0635,1.0996
HD 27894 b,HD 27894,1,3,Radial Velocity,2005,La Silla Observatory,0,18.01939,0.00024,-0.00027,0.0,0.125,0.005,-0.005,0.0,14.1,,,0.0,1.26,,,0.0,196.73578,15.89142,-15.89142,0.0,0.619,0.05,-0.05,0.0,Msini,0.047,0.012,-0.011,0.0,,,,,,,,,0,K2 V,4875.0,81.0,-81.0,0.0,0.89,0.01,-0.02,0.0,0.81,0.1,-0.1,0.0,0.3,0.07,-0.07,0.0,[Fe/H],4.22,0.26,-0.26,0.0,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,43.8214,0.0593,-0.0591,9.36,0.03,-0.03,7.071,0.026,-0.026,9.06573,0.000244,-0.000244,4678605152248591488,65.1976191272484,-59.40964013591945,22.888845825592387,182.47338294857792,270.01166346822487,9.072492,4815.887,0.8772
HD 27894 c,HD 27894,1,3,Radial Velocity,2017,La Silla Observatory,0,36.07,0.26,-0.09,0.0,0.198,0.001,-0.001,0.0,8.24,,,0.0,0.735,,,0.0,51.48846,3.49613,-12.7132,0.0,0.162,0.011,-0.04,0.0,Msini,0.015,0.02,-0.002,0.0,,,,,,,,,0,K2 V,4894.0,25.0,-25.0,0.0,0.89,0.01,-0.02,0.0,0.8,,,0.0,0.3,0.07,-0.07,0.0,[Fe/H],4.49,0.05,-0.11,0.0,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,43.8214,0.0593,-0.0591,9.36,0.03,-0.03,7.071,0.026,-0.026,9.06573,0.000244,-0.000244,4678605152248591488,65.1976191272484,-59.40964013591945,22.888845825592387,182.47338294857792,270.01166346822487,9.072492,4815.887,0.8772
